,station,weight,latitude,longitude,elevation,label
23733,ASN00084084,20.0,-37.5976,149.7289,22.0,5467.0
10385,ASN00090135,54.0,-37.5909,141.4133,71.0,3715.0
13741,ASN00084087,6.0,-37.5833,147.3667,116.0,5467.0
10387,ASN00090182,8.0,-37.583,141.3339,130.6,3715.0
20471,ASN00086142,29.0,-37.572,145.5014,595.0,9342.0
6895,ASN00083033,13.0,-37.5696,146.2541,680.0,9342.0
20466,ASN00084016,56.0,-37.5679,149.9158,15.2,5467.0
10271,ASN00026019,36.0,-37.5575,140.4197,65.0,3715.0
20467,ASN00084027,8.0,-37.5333,149.15,88.4,5467.0
20480,ASN00089002,56.0,-37.5127,143.7911,435.2,3123.0
70,ASN00026036,19.0,-37.4886,140.8269,65.0,3715.0
3493,ASN00087159,8.0,-37.4667,144.3167,533.0,3123.0
23750,ASN00088019,11.0,-37.4172,143.8789,430.0,3123.0
20479,ASN00088133,2.0,-37.4167,144.2833,768.1,3123.0
10377,ASN00087036,21.0,-37.4155,144.5569,505.0,3123.0
6911,ASN00088162,19.0,-37.3807,144.9654,527.8,3123.0
10367,ASN00084143,18.0,-37.3417,149.0228,640.0,5467.0
17119,ASN00088068,36.0,-37.3389,145.8547,838.2,9342.0
17122,ASN00089036,8.0,-37.3333,142.15,249.9,3123.0
10380,ASN00088015,10.0,-37.3049,143.7776,332.0,3123.0
6802,ASN00026045,16.0,-37.3,140.8333,59.0,3715.0
17100,ASN00079103,7.0,-37.295,142.6039,1150.0,3123.0
10272,ASN00026091,27.0,-37.2906,140.8254,57.0,3715.0
197,ASN00089000,7.0,-37.2833,142.95,332.2,3123.0
6912,ASN00089105,14.0,-37.2822,143.2469,965.0,3123.0
10382,ASN00089085,44.0,-37.2775,142.9811,295.0,3123.0
6803,ASN00026070,10.0,-37.2667,140.1167,11.0,3715.0
17084,ASN00069137,11.0,-37.2622,150.0504,19.4,5467.0
6875,ASN00069055,25.0,-37.2614,150.0497,20.0,5467.0
13751,ASN00088036,9.0,-37.25,144.45,509.0,3123.0
17121,ASN00088123,6.0,-37.25,144.4378,526.0,3123.0
20477,ASN00088023,43.0,-37.2313,145.9124,230.0,9342.0
13742,ASN00084142,20.0,-37.22,148.2625,755.0,5467.0
196,ASN00088164,16.0,-37.2091,145.8423,637.0,9342.0
20478,ASN00088111,2.0,-37.2,144.4,472.4,3123.0
20476,ASN00088001,5.0,-37.1916,145.7116,221.0,9342.0
17012,ASN00026105,9.0,-37.1776,139.8054,3.0,3715.0
23653,ASN00026026,128.0,-37.1628,139.756,3.3,3715.0
10365,ASN00084077,1.0,-37.15,148.8833,914.4,5467.0
3472,ASN00070326,2.0,-37.1475,149.1496,790.0,5467.0
180,ASN00083024,27.0,-37.145,146.4394,1707.0,9342.0
10355,ASN00079097,9.0,-37.1169,141.8031,188.8,3123.0
10364,ASN00083090,8.0,-37.1017,147.6008,689.8,5467.0
23731,ASN00083025,52.0,-37.1011,147.598,685.0,5467.0
10354,ASN00079042,4.0,-37.1,142.8,231.3,3123.0
3391,ASN00026082,11.0,-37.0951,140.7911,65.0,3715.0
173,ASN00081000,10.0,-37.0887,143.4747,242.0,3123.0
23751,ASN00088110,47.0,-37.0809,144.2392,330.0,3123.0
195,ASN00088153,10.0,-37.0748,145.722,360.0,9342.0
3478,ASN00079080,29.0,-37.0717,142.7908,203.0,3123.0
10356,ASN00079105,17.0,-37.068,142.7412,227.9,3123.0
